cluster,movie_id,movie_name,genre
2,tt0041628,The Man on the Eiffel Tower,"Mystery, Thriller"
1,tt0041640,La Marie du port,"Crime, Drama, Romance"
1,tt0041650,Mighty Joe Young,"Adventure, Drama, Fantasy"
1,tt0041705,La nuit fantastique,"Comedy, Fantasy, Romance"
2,tt0041788,The Red Danube,"Drama, Romance, War"
2,tt0041822,Rope of Sand,"Action, Adventure, Crime"
0,tt0041838,Samson and Delilah,"Drama, Family, History"
2,tt0041841,Sands of Iwo Jima,"Action, Drama, Romance"
3,tt0041890,So Dear to My Heart,"Animation, Drama, Family"
2,tt0041911,The Spider and the Fly,"Crime, Romance, Thriller"
4,tt0041959,The Third Man,"Film-Noir, Mystery, Thriller"
4,tt0041999,Border Street,"Drama, War"
1,tt0042040,Whisky Galore!,"Comedy, Crime"
2,tt0042261,The Blonde Bandit,"Action, Crime, Drama"
2,tt0042313,The Capture,"Crime, Drama, Western"
3,tt0042332,Cinderella,"Animation, Family, Fantasy"
0,tt0042395,Devil's Doorway,"Drama, Romance, Western"
1,tt0042511,The Golden Gloves Story,"Drama, Romance, Sport"
2,tt0042522,The Great Manhunt,"Drama, Romance, Thriller"
4,tt0042643,The Killer That Stalked New York,"Drama, Film-Noir, Thriller"
2,tt0042648,Kiss Tomorrow Goodbye,"Crime, Film-Noir, Thriller"
4,tt0042781,Native Son,"Drama, Film-Noir"
2,tt0042809,One Way Street,"Crime, Drama, Film-Noir"
2,tt0042830,Paid in Full,"Drama, Romance"
4,tt0042876,Rashomon,"Crime, Drama, Mystery"
2,tt0042952,Shadow on the Wall,"Comedy, Crime, Drama"
4,tt0042980,So Long at the Fair,"Drama, Mystery"
4,tt0043014,Sunset Blvd.,"Drama, Film-Noir"
2,tt0043017,Surrender,"Drama, Romance, Western"
2,tt0043024,Tarnished,"Action, Adventure, Crime"
0,tt0043067,Treasure Island,"Adventure, Family"
2,tt0043137,Winchester '73,"Action, Drama, Western"
3,tt0043265,The African Queen,"Adventure, Drama, Romance"
3,tt0043274,Alice in Wonderland,"Animation, Adventure, Comedy"
2,tt0043292,Appointment with Danger,"Crime, Drama, Film-Noir"
2,tt0043320,The Basketball Fix,"Crime, Drama, Film-Noir"
2,tt0043360,Bride of the Gorilla,"Adventure, Horror"
0,tt0043379,Captain Horatio Hornblower,"Action, Adventure, Drama"
0,tt0043456,The Day the Earth Stood Still,"Drama, Sci-Fi"
1,tt0043469,Distant Drums,"Action, Adventure, Drama"
